Rank,Symbol,Company,Sector,BuyQtyCur,BuyQtyPrev,BuyPctChg,SellQtyCur,SellQtyPrev,SellPctChg,DelivPerCur,DelivPerPrev,Close,InstiNetCr,InstiDeals,RefDate,Status
1,STARHEALTH,Star Health and Allied Insurance Company Limited,Financial Services,13204881,1821691,624.9,3391269,1620625,109.3,79.6,52.9,550.4,0.01,2,2026-09-09,"FORTNIGHT IN PROGRESS — daily refresh, har month ki 16th ko final"
2,GODIGIT,Go Digit General Insurance Limited,Financial Services,5983066,945353,532.9,5302536,1032359,413.6,53.0,47.8,250.3,0.0,0,2026-09-09,"FORTNIGHT IN PROGRESS — daily refresh, har month ki 16th ko final"
3,TATAINVEST,Tata Investment Corporation Limited,Financial Services,4518661,735229,514.6,42291014,978636,4221.4,9.7,42.9,658.35,0.0,0,2026-09-09,"FORTNIGHT IN PROGRESS — daily refresh, har month ki 16th ko final"
4,TATACHEM,Tata Chemicals Limited,Chemicals,12951729,2556926,406.5,51524082,3879373,1228.2,20.1,39.7,652.2,0.0,0,2026-09-09,"FORTNIGHT IN PROGRESS — daily refresh, har month ki 16th ko final"
5,AFCONS,Afcons Infrastructure Limited,Construction,13543666,3051923,343.8,40646525,2990879,1259.0,25.0,50.5,253.75,0.0,0,2026-09-09,"FORTNIGHT IN PROGRESS — daily refresh, har month ki 16th ko final"
