Symbol,Company,Sector,InstiBuyCr,InstiSellCr,NetCr,Buys,Sells,Institutions,ActiveDays,Status
MANALIPETC,Manali Petrochemicals Limited,,127.53,129.45,-1.92,6,6,6,1,DISTRIBUTING
SANGINITA,Sanginita Chemicals Limit,,2.81,1.09,1.72,1,1,1,1,ACCUMULATING
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,,1.96,0.27,1.69,3,3,1,3,ACCUMULATING
MOTISONS,Motisons Jewellers Limited,,55.5,57.12,-1.62,2,2,1,2,DISTRIBUTING
AGIIL,Agi Infra Limited,,82.25,80.67,1.58,1,1,1,1,ACCUMULATING
MANINDS,Man Industries (India) Limited,,42.22,40.72,1.5,1,1,1,1,ACCUMULATING
ZEEL,Zee Entertainment Enterprises Limited,Media Entertainment & Publication,101.75,100.46,1.29,2,2,2,1,ACCUMULATING
RGL,Renaissance Global Limited,,140.19,139.08,1.11,8,8,7,2,ACCUMULATING
ACETEC,Acetech E-Commerce Ltd,,0.0,1.1,-1.1,0,1,1,1,DISTRIBUTING
DURLAX,Durlax Top Surface Ltd,,0.98,0.0,0.98,1,0,1,1,ACCUMULATING
KLL,Kaushalya Logistics Ltd,,0.0,0.97,-0.97,0,1,1,1,DISTRIBUTING
BVCL,Barak Valley Cements Limited,,1.1,0.16,0.94,2,2,1,2,ACCUMULATING
CYIENT,Cyient Limited,Information Technology,55.05,54.12,0.93,1,1,1,1,ACCUMULATING
ASHOKA,Ashoka Buildcon Limited,,234.05,234.97,-0.92,5,5,5,1,DISTRIBUTING
ALLCARGO,Allcargo Logistics Limited,,22.81,23.68,-0.87,2,2,2,1,DISTRIBUTING
BANG,Bang Overseas Limited,,2.32,1.51,0.81,4,4,1,4,ACCUMULATING
FEDDERSHOL,Fedders Holding Limited,,49.53,50.32,-0.79,6,6,6,1,DISTRIBUTING
KSR,KSR Footwear Limited,,0.77,0.0,0.77,1,0,1,1,ACCUMULATING
JAYESH,Jayesh Logistics Limited,,0.0,0.7,-0.7,0,1,1,1,DISTRIBUTING
SHREEKARNI,Shree Karni Fabcom Ltd,,1.49,0.8,0.69,1,1,1,1,ACCUMULATING
KANOHAR,Kanohar Electricals Ltd,,130.61,131.22,-0.61,3,3,3,1,DISTRIBUTING
CORALFINAC,Coral India Finance & Housing Limited,,0.71,0.12,0.59,1,1,1,1,ACCUMULATING
MANUGRAPH,Manugraph India Ltd.,,0.59,0.0,0.59,1,0,1,1,ACCUMULATING
POLYSIL,Polysil Irrigation Syst L,,1.27,0.71,0.56,1,1,1,1,ACCUMULATING
SUBEXLTD,Subex Ltd,,5.82,6.36,-0.54,1,1,1,1,DISTRIBUTING
BLBLIMITED,BLB Limited,,0.0,0.53,-0.53,0,1,1,1,DISTRIBUTING
AMBANIORGO,AMBANI ORGOCHEM LIMITED,,0.49,0.0,0.49,1,0,1,1,ACCUMULATING
KCK,Kck Industries Limited,,0.46,0.0,0.46,1,0,1,1,ACCUMULATING
